	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.2906	0.1258	2.2642	0.1502	64	relu	xent
1	2	2.2017	0.1776	2.1380	0.2026	64	relu	xent
2	3	2.0559	0.2262	1.9804	0.2554	64	relu	xent
3	4	1.9331	0.2799	1.9022	0.2922	64	relu	xent
4	5	1.8704	0.3137	1.8489	0.3241	64	relu	xent
5	6	1.8238	0.3310	1.8093	0.3352	64	relu	xent
6	7	1.7828	0.3464	1.7639	0.3570	64	relu	xent
7	8	1.7385	0.3675	1.7231	0.3792	64	relu	xent
8	9	1.7045	0.3835	1.6759	0.4029	64	relu	xent
9	10	1.6676	0.4003	1.6457	0.4090	64	relu	xent
10	11	1.6419	0.4116	1.6549	0.4074	64	relu	xent
11	12	1.6095	0.4257	1.6208	0.4239	64	relu	xent
12	13	1.5783	0.4373	1.6161	0.4248	64	relu	xent
13	14	1.5480	0.4502	1.5909	0.4354	64	relu	xent
14	15	1.5257	0.4575	1.5859	0.4303	64	relu	xent
15	16	1.5062	0.4641	1.5535	0.4503	64	relu	xent
16	17	1.4744	0.4773	1.5494	0.4466	64	relu	xent
17	18	1.4509	0.4847	1.5195	0.4650	64	relu	xent
18	19	1.4281	0.4946	1.5102	0.4609	64	relu	xent
19	20	1.4007	0.5036	1.4991	0.4730	64	relu	xent
20	1	2.2967	0.1565	2.2863	0.1802	128	relu	xent
21	2	2.2499	0.1662	2.1890	0.1925	128	relu	xent
22	3	2.1109	0.1998	2.0371	0.2360	128	relu	xent
23	4	1.9970	0.2465	1.9556	0.2672	128	relu	xent
24	5	1.9309	0.2806	1.9040	0.2938	128	relu	xent
25	6	1.8772	0.3056	1.8393	0.3283	128	relu	xent
26	7	1.8206	0.3300	1.8032	0.3358	128	relu	xent
27	8	1.7726	0.3490	1.7493	0.3576	128	relu	xent
28	9	1.7314	0.3671	1.7143	0.3770	128	relu	xent
29	10	1.6931	0.3813	1.6780	0.3851	128	relu	xent
30	11	1.6463	0.4016	1.6627	0.3913	128	relu	xent
31	12	1.6021	0.4219	1.6082	0.4233	128	relu	xent
32	13	1.5695	0.4365	1.6189	0.4204	128	relu	xent
33	14	1.5339	0.4476	1.5617	0.4400	128	relu	xent
34	15	1.5035	0.4608	1.5419	0.4467	128	relu	xent
35	16	1.4754	0.4717	1.5180	0.4612	128	relu	xent
36	17	1.4487	0.4778	1.4984	0.4690	128	relu	xent
37	18	1.4218	0.4890	1.5095	0.4610	128	relu	xent
38	19	1.3976	0.4983	1.4899	0.4677	128	relu	xent
39	20	1.3702	0.5070	1.4659	0.4847	128	relu	xent
40	1	2.2973	0.1471	2.2874	0.1866	256	relu	xent
41	2	2.2538	0.1880	2.2036	0.1844	256	relu	xent
42	3	2.1359	0.2058	2.0815	0.2247	256	relu	xent
43	4	2.0156	0.2552	1.9775	0.2748	256	relu	xent
44	5	1.9466	0.2902	1.9373	0.2893	256	relu	xent
45	6	1.9003	0.3034	1.8794	0.3137	256	relu	xent
46	7	1.8472	0.3263	1.8305	0.3290	256	relu	xent
47	8	1.7990	0.3440	1.7778	0.3551	256	relu	xent
48	9	1.7481	0.3665	1.7321	0.3768	256	relu	xent
49	10	1.7123	0.3820	1.6955	0.3907	256	relu	xent
50	11	1.6589	0.4027	1.6621	0.4077	256	relu	xent
51	12	1.6208	0.4183	1.6248	0.4146	256	relu	xent
52	13	1.5990	0.4231	1.5989	0.4238	256	relu	xent
53	14	1.5605	0.4384	1.5546	0.4447	256	relu	xent
54	15	1.5234	0.4526	1.5417	0.4498	256	relu	xent
55	16	1.4951	0.4642	1.5048	0.4633	256	relu	xent
56	17	1.4613	0.4766	1.5034	0.4695	256	relu	xent
57	18	1.4313	0.4872	1.4945	0.4686	256	relu	xent
58	19	1.4033	0.4974	1.4576	0.4823	256	relu	xent
59	20	1.3794	0.5082	1.4723	0.4769	256	relu	xent
60	1	2.2990	0.1547	2.2913	0.1877	512	relu	xent
61	2	2.2530	0.1803	2.1937	0.1760	512	relu	xent
62	3	2.1405	0.1891	2.0920	0.2011	512	relu	xent
63	4	2.0615	0.2181	2.0210	0.2403	512	relu	xent
64	5	2.0078	0.2490	2.0030	0.2574	512	relu	xent
65	6	1.9673	0.2632	1.9425	0.2712	512	relu	xent
66	7	1.9318	0.2748	1.9090	0.2911	512	relu	xent
67	8	1.9005	0.2925	1.8779	0.3042	512	relu	xent
68	9	1.8773	0.3068	1.8525	0.3194	512	relu	xent
69	10	1.8522	0.3226	1.8259	0.3338	512	relu	xent
70	11	1.8201	0.3366	1.8174	0.3421	512	relu	xent
71	12	1.7956	0.3467	1.7918	0.3532	512	relu	xent
72	13	1.7843	0.3506	1.7686	0.3582	512	relu	xent
73	14	1.7585	0.3622	1.7486	0.3665	512	relu	xent
74	15	1.7469	0.3676	1.7407	0.3710	512	relu	xent
75	16	1.7339	0.3719	1.7355	0.3679	512	relu	xent
76	17	1.7199	0.3783	1.7194	0.3796	512	relu	xent
77	18	1.7020	0.3833	1.7362	0.3726	512	relu	xent
78	19	1.6806	0.3910	1.7035	0.3843	512	relu	xent
79	20	1.6673	0.3943	1.6803	0.3852	512	relu	xent
80	1	2.2973	0.1681	2.2865	0.1727	1024	relu	xent
81	2	2.2396	0.1681	2.1648	0.1655	1024	relu	xent
82	3	2.1246	0.1868	2.0830	0.2109	1024	relu	xent
83	4	2.0566	0.2258	2.0347	0.2443	1024	relu	xent
84	5	2.0063	0.2535	1.9978	0.2695	1024	relu	xent
85	6	1.9722	0.2806	1.9577	0.2921	1024	relu	xent
86	7	1.9384	0.2967	1.9089	0.3127	1024	relu	xent
87	8	1.9116	0.3106	1.8902	0.3256	1024	relu	xent
88	9	1.8731	0.3261	1.8778	0.3256	1024	relu	xent
89	10	1.8538	0.3346	1.8266	0.3532	1024	relu	xent
90	11	1.8210	0.3479	1.8117	0.3563	1024	relu	xent
91	12	1.8047	0.3592	1.7961	0.3588	1024	relu	xent
92	13	1.7854	0.3652	1.7828	0.3676	1024	relu	xent
93	14	1.7721	0.3684	1.7544	0.3753	1024	relu	xent
94	15	1.7485	0.3768	1.7695	0.3640	1024	relu	xent
95	16	1.7487	0.3703	1.7318	0.3796	1024	relu	xent
96	17	1.7459	0.3718	1.7887	0.3503	1024	relu	xent
97	18	1.7080	0.3807	1.7147	0.3756	1024	relu	xent
98	19	1.7042	0.3827	1.7445	0.3658	1024	relu	xent
99	20	1.6933	0.3861	1.7114	0.3789	1024	relu	xent
100	1	2.2948	0.1835	2.2761	0.1928	2048	relu	xent
101	2	2.2102	0.1852	2.1296	0.1809	2048	relu	xent
102	3	2.1125	0.2005	2.0870	0.2156	2048	relu	xent
103	4	2.0519	0.2374	2.0420	0.2433	2048	relu	xent
104	5	2.0094	0.2646	1.9937	0.2805	2048	relu	xent
105	6	1.9789	0.2805	1.9535	0.2937	2048	relu	xent
106	7	1.9491	0.2853	1.9320	0.2936	2048	relu	xent
107	8	1.9259	0.2937	1.9016	0.2989	2048	relu	xent
108	9	1.8856	0.2974	1.8676	0.3091	2048	relu	xent
109	10	1.8823	0.2952	1.8810	0.2910	2048	relu	xent
110	11	1.8459	0.3121	1.8320	0.3177	2048	relu	xent
111	12	1.8196	0.3170	1.8066	0.3317	2048	relu	xent
112	13	1.8058	0.3334	1.7936	0.3418	2048	relu	xent
113	14	1.7903	0.3381	1.7837	0.3476	2048	relu	xent
114	15	1.7716	0.3447	1.7623	0.3483	2048	relu	xent
115	16	1.7661	0.3503	1.7739	0.3558	2048	relu	xent
116	17	1.7565	0.3545	1.7464	0.3571	2048	relu	xent
117	18	1.7232	0.3593	1.7492	0.3594	2048	relu	xent
118	19	1.7312	0.3697	1.7353	0.3663	2048	relu	xent
119	20	1.7059	0.3726	1.7449	0.3642	2048	relu	xent
