	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.3026	0.1508	2.3026	0.1548	64	relu	xent
1	2	2.3026	0.1547	2.3026	0.1620	64	relu	xent
2	3	2.3026	0.1641	2.3025	0.1642	64	relu	xent
3	4	2.3025	0.1623	2.3023	0.1630	64	relu	xent
4	5	2.3017	0.1570	2.3002	0.1444	64	relu	xent
5	6	2.2747	0.1458	2.1762	0.1628	64	relu	xent
6	7	2.1255	0.1596	2.0972	0.1609	64	relu	xent
7	8	2.0815	0.1621	2.0568	0.1681	64	relu	xent
8	9	2.0370	0.1715	2.0198	0.2084	64	relu	xent
9	10	1.9996	0.2117	1.9745	0.2266	64	relu	xent
10	11	1.9404	0.2416	1.9052	0.2664	64	relu	xent
11	12	1.8485	0.2901	1.7824	0.3208	64	relu	xent
12	13	1.7554	0.3411	1.7104	0.3685	64	relu	xent
13	14	1.6789	0.3774	1.6589	0.3949	64	relu	xent
14	15	1.6059	0.4041	1.6332	0.4095	64	relu	xent
15	16	1.5734	0.4169	1.5832	0.4218	64	relu	xent
16	17	1.5098	0.4448	1.5610	0.4352	64	relu	xent
17	18	1.4777	0.4571	1.5512	0.4360	64	relu	xent
18	19	1.4492	0.4690	1.5282	0.4490	64	relu	xent
19	20	1.4127	0.4839	1.5591	0.4394	64	relu	xent
20	1	2.3026	0.1647	2.3026	0.1639	128	relu	xent
21	2	2.3026	0.1568	2.3026	0.1556	128	relu	xent
22	3	2.3026	0.1516	2.3026	0.1510	128	relu	xent
23	4	2.3026	0.1516	2.3025	0.1518	128	relu	xent
24	5	2.3025	0.1502	2.3024	0.1535	128	relu	xent
25	6	2.3018	0.1502	2.3003	0.1435	128	relu	xent
26	7	2.2814	0.1431	2.2105	0.1517	128	relu	xent
27	8	2.1300	0.1498	2.1047	0.1518	128	relu	xent
28	9	2.0836	0.1480	2.0765	0.1517	128	relu	xent
29	10	2.0604	0.1457	2.0462	0.1524	128	relu	xent
30	11	2.0392	0.1473	2.0423	0.1502	128	relu	xent
31	12	2.0388	0.1435	2.0763	0.1338	128	relu	xent
32	13	2.0924	0.1414	2.0882	0.1528	128	relu	xent
33	14	2.0845	0.1623	2.0977	0.1685	128	relu	xent
34	15	2.0392	0.1973	2.0023	0.2146	128	relu	xent
35	16	1.9847	0.2202	1.9630	0.2334	128	relu	xent
36	17	1.9495	0.2450	1.9445	0.2570	128	relu	xent
37	18	1.9214	0.2588	1.9432	0.2526	128	relu	xent
38	19	1.9021	0.2684	1.8862	0.2851	128	relu	xent
39	20	1.8843	0.2792	1.8952	0.2786	128	relu	xent
40	1	2.3026	0.1479	2.3026	0.1581	256	relu	xent
41	2	2.3026	0.1648	2.3026	0.1703	256	relu	xent
42	3	2.3026	0.1683	2.3026	0.1624	256	relu	xent
43	4	2.3026	0.1602	2.3026	0.1704	256	relu	xent
44	5	2.3026	0.1594	2.3026	0.1594	256	relu	xent
45	6	2.3026	0.1526	2.3026	0.1592	256	relu	xent
46	7	2.3025	0.1494	2.3025	0.1528	256	relu	xent
47	8	2.3022	0.1462	2.3014	0.1505	256	relu	xent
48	9	2.2961	0.1556	2.2790	0.1599	256	relu	xent
49	10	2.1874	0.1577	2.1143	0.1585	256	relu	xent
50	11	2.0916	0.1524	2.0754	0.1499	256	relu	xent
51	12	2.0614	0.1506	2.0647	0.1490	256	relu	xent
52	13	2.0425	0.1503	2.0467	0.1504	256	relu	xent
53	14	2.0279	0.1540	2.0411	0.1527	256	relu	xent
54	15	2.0174	0.1528	2.0332	0.1571	256	relu	xent
55	16	2.0057	0.1547	2.0306	0.1513	256	relu	xent
56	17	1.9957	0.1547	2.0496	0.1717	256	relu	xent
57	18	1.9624	0.2019	1.9855	0.2143	256	relu	xent
58	19	1.9217	0.2185	1.9511	0.2146	256	relu	xent
59	20	1.8898	0.2230	1.9192	0.2229	256	relu	xent
60	1	2.3026	0.1497	2.3026	0.1542	512	relu	xent
61	2	2.3026	0.1572	2.3026	0.1576	512	relu	xent
62	3	2.3026	0.1530	2.3026	0.1491	512	relu	xent
63	4	2.3026	0.1457	2.3026	0.1420	512	relu	xent
64	5	2.3026	0.1411	2.3026	0.1378	512	relu	xent
65	6	2.3026	0.1372	2.3026	0.1344	512	relu	xent
66	7	2.3026	0.1337	2.3026	0.1346	512	relu	xent
67	8	2.3026	0.1346	2.3026	0.1365	512	relu	xent
68	9	2.3025	0.1389	2.3023	0.1435	512	relu	xent
69	10	2.3004	0.1436	2.2943	0.1495	512	relu	xent
70	11	2.2208	0.1537	2.1205	0.1573	512	relu	xent
71	12	2.0981	0.1509	2.0881	0.1519	512	relu	xent
72	13	2.0663	0.1489	2.0674	0.1541	512	relu	xent
73	14	2.0465	0.1504	2.0625	0.1550	512	relu	xent
74	15	2.0319	0.1524	2.0547	0.1558	512	relu	xent
75	16	2.0198	0.1514	2.0527	0.1505	512	relu	xent
76	17	2.0152	0.1544	2.0536	0.1504	512	relu	xent
77	18	2.0010	0.1551	2.0607	0.1567	512	relu	xent
78	19	1.9937	0.1568	2.0387	0.1560	512	relu	xent
79	20	1.9851	0.1604	2.0400	0.1509	512	relu	xent
80	1	2.3026	0.1496	2.3026	0.1567	1024	relu	xent
81	2	2.3026	0.1528	2.3026	0.1561	1024	relu	xent
82	3	2.3026	0.1516	2.3026	0.1496	1024	relu	xent
83	4	2.3026	0.1489	2.3026	0.1377	1024	relu	xent
84	5	2.3026	0.1413	2.3026	0.1376	1024	relu	xent
85	6	2.3026	0.1402	2.3026	0.1382	1024	relu	xent
86	7	2.3026	0.1421	2.3026	0.1397	1024	relu	xent
87	8	2.3025	0.1408	2.3025	0.1379	1024	relu	xent
88	9	2.3020	0.1369	2.3006	0.1657	1024	relu	xent
89	10	2.2693	0.1494	2.1806	0.1525	1024	relu	xent
90	11	2.1228	0.1510	2.1161	0.1472	1024	relu	xent
91	12	2.0841	0.1492	2.0621	0.1539	1024	relu	xent
92	13	2.0701	0.1540	2.0617	0.1590	1024	relu	xent
93	14	2.0519	0.1524	2.0681	0.1571	1024	relu	xent
94	15	2.0431	0.1573	2.0482	0.1603	1024	relu	xent
95	16	2.0318	0.1688	2.0614	0.1680	1024	relu	xent
96	17	2.0252	0.1688	2.0600	0.1693	1024	relu	xent
97	18	1.9938	0.1548	1.9943	0.1555	1024	relu	xent
98	19	1.9552	0.1568	1.9819	0.1667	1024	relu	xent
99	20	1.9398	0.1735	1.9814	0.1752	1024	relu	xent
100	1	2.3026	0.1827	2.3026	0.1771	2048	relu	xent
101	2	2.3026	0.1712	2.3026	0.1699	2048	relu	xent
102	3	2.3026	0.1554	2.3026	0.1536	2048	relu	xent
103	4	2.3026	0.1488	2.3026	0.1441	2048	relu	xent
104	5	2.3025	0.1415	2.3024	0.1432	2048	relu	xent
105	6	2.2998	0.1463	2.2888	0.1566	2048	relu	xent
106	7	2.2018	0.1566	2.1237	0.1692	2048	relu	xent
107	8	2.1017	0.1558	2.0654	0.1643	2048	relu	xent
108	9	2.0667	0.1586	2.0540	0.1652	2048	relu	xent
109	10	2.0696	0.1632	2.0928	0.1571	2048	relu	xent
110	11	2.0814	0.1669	2.1087	0.1722	2048	relu	xent
111	12	2.0730	0.1675	2.0812	0.1610	2048	relu	xent
112	13	2.1037	0.1640	2.0808	0.1630	2048	relu	xent
113	14	2.0941	0.1666	2.1044	0.1640	2048	relu	xent
114	15	2.0929	0.1693	2.1242	0.1593	2048	relu	xent
115	16	2.0855	0.1631	2.1111	0.1690	2048	relu	xent
116	17	2.0943	0.1656	2.0953	0.1759	2048	relu	xent
117	18	2.0836	0.1732	2.0572	0.1938	2048	relu	xent
118	19	2.0614	0.1896	2.0578	0.2010	2048	relu	xent
119	20	2.0756	0.1915	2.0902	0.1719	2048	relu	xent
