	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.0904	0.2109	1.8754	0.2876	64	relu	xent
1	2	1.8662	0.3203	1.8567	0.3339	64	relu	xent
2	3	2.0303	0.2501	2.1828	0.1836	64	relu	xent
3	4	2.1976	0.1756	2.2203	0.1569	64	relu	xent
4	5	2.2192	0.1561	2.2088	0.1450	64	relu	xent
5	6	2.1920	0.1638	2.1786	0.1761	64	relu	xent
6	7	2.1842	0.1688	2.1722	0.1474	64	relu	xent
7	8	2.1827	0.1503	2.1830	0.1451	64	relu	xent
8	9	2.2093	0.1485	2.1948	0.1614	64	relu	xent
9	10		0.1011		0.1000	64	relu	xent
10	1	2.1438	0.1826	1.9783	0.2495	128	relu	xent
11	2	1.9731	0.2657	2.0142	0.2325	128	relu	xent
12	3	1.9775	0.2725	2.0221	0.2891	128	relu	xent
13	4	2.1961	0.1606	2.3037	0.1011	128	relu	xent
14	5	2.3025	0.1003	2.3017	0.1045	128	relu	xent
15	6	2.2672	0.1225	2.2111	0.1515	128	relu	xent
16	7	2.2974	0.1025	2.3031	0.1019	128	relu	xent
17	8	2.3028	0.0999	2.3026	0.1012	128	relu	xent
18	9	2.3027	0.0999	2.3028	0.1019	128	relu	xent
19	10	2.3027	0.0988	2.3026	0.1019	128	relu	xent
20	11	2.3027	0.1001	2.3026	0.1022	128	relu	xent
21	12	2.3026	0.1027	2.3028	0.1002	128	relu	xent
22	13	2.3026	0.1029	2.3025	0.1022	128	relu	xent
23	14	2.3026	0.0990	2.3026	0.1045	128	relu	xent
24	15	2.3026	0.0996	2.3026	0.1013	128	relu	xent
25	16	2.3026	0.0995	2.3026	0.1005	128	relu	xent
26	17	2.3026	0.0987	2.3027	0.1005	128	relu	xent
27	18	2.3026	0.0993	2.3026	0.1013	128	relu	xent
28	19	2.3026	0.1002	2.3026	0.1002	128	relu	xent
29	20	2.3026	0.0998	2.3026	0.1013	128	relu	xent
30	1	2.1790	0.1612	2.0816	0.1852	256	relu	xent
31	2	1.9900	0.2470	1.9340	0.2885	256	relu	xent
32	3	2.1111	0.2060	2.0275	0.2628	256	relu	xent
33	4	2.0651	0.2330	2.2872	0.1307	256	relu	xent
34	5		0.1219		0.1000	256	relu	xent
35	1	2.2387	0.1528	2.1324	0.1627	512	relu	xent
36	2	2.0574	0.2088	2.2001	0.2130	512	relu	xent
37	3	2.2192	0.1433	2.2396	0.1359	512	relu	xent
38	4	2.1789	0.1479	2.1552	0.1477	512	relu	xent
39	5	36.4061	0.1018	24.3984	0.1013	512	relu	xent
40	6	4.6443	0.0998	2.3043	0.1002	512	relu	xent
41	7	2.4756	0.1003	2.4298	0.0995	512	relu	xent
42	8	2.3381	0.1020	2.4562	0.0995	512	relu	xent
43	9	2.3208	0.0999	2.3521	0.1000	512	relu	xent
44	10	2.3151	0.0995	2.3115	0.1045	512	relu	xent
45	11	2.3093	0.0987	2.3051	0.0995	512	relu	xent
46	12	2.3065	0.0977	2.3036	0.1015	512	relu	xent
47	13	2.3044	0.0993	2.3037	0.1013	512	relu	xent
48	14	2.3037	0.0998	2.3030	0.1013	512	relu	xent
49	15	2.3036	0.0986	2.3026	0.1013	512	relu	xent
50	16	2.3032	0.1006	2.3035	0.1013	512	relu	xent
51	17	2.3029	0.0998	2.3028	0.1022	512	relu	xent
52	18	2.3027	0.1011	2.3028	0.1012	512	relu	xent
53	19	2.3027	0.0994	2.3027	0.1015	512	relu	xent
