	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	0.0899	0.1542	2.2926	0.1433	64	relu	mse
1	2	0.0856	0.1938	2.2339	0.2444	64	relu	mse
2	3	0.0796	0.2922	2.1758	0.3207	64	relu	mse
3	4	0.0753	0.3596	2.1580	0.3915	64	relu	mse
4	5	0.0712	0.4131	2.1144	0.4256	64	relu	mse
5	6	0.0685	0.4495	2.1025	0.4456	64	relu	mse
6	7	0.0663	0.4759	2.0838	0.4636	64	relu	mse
7	8	0.0645	0.4925	2.0768	0.4708	64	relu	mse
8	9	0.0630	0.5077	2.0671	0.4767	64	relu	mse
9	10	0.0616	0.5217	2.0617	0.4869	64	relu	mse
10	11	0.0605	0.5349	2.0524	0.4896	64	relu	mse
11	12	0.0592	0.5442	2.0496	0.4902	64	relu	mse
12	13	0.0583	0.5543	2.0368	0.4955	64	relu	mse
13	14	0.0572	0.5650	2.0316	0.4918	64	relu	mse
14	15	0.0563	0.5728	2.0264	0.4991	64	relu	mse
15	16	0.0554	0.5817	2.0250	0.5009	64	relu	mse
16	17	0.0548	0.5875	2.0308	0.5023	64	relu	mse
17	18	0.0538	0.5970	2.0222	0.4980	64	relu	mse
18	19	0.0533	0.6007	2.0246	0.4974	64	relu	mse
19	20	0.0526	0.6086	2.0238	0.5066	64	relu	mse
20	1	0.0900	0.1541	2.3014	0.1497	128	relu	mse
21	2	0.0870	0.1540	2.2603	0.1781	128	relu	mse
22	3	0.0830	0.2053	2.2252	0.2177	128	relu	mse
23	4	0.0808	0.2309	2.2047	0.2554	128	relu	mse
24	5	0.0780	0.2870	2.1757	0.3096	128	relu	mse
25	6	0.0747	0.3306	2.1506	0.3391	128	relu	mse
26	7	0.0726	0.3562	2.1388	0.3668	128	relu	mse
27	8	0.0708	0.3775	2.1148	0.3738	128	relu	mse
28	9	0.0694	0.3891	2.1209	0.3726	128	relu	mse
29	10	0.0679	0.4042	2.1134	0.3923	128	relu	mse
30	11	0.0667	0.4166	2.0937	0.3889	128	relu	mse
31	12	0.0656	0.4220	2.0928	0.3901	128	relu	mse
32	13	0.0648	0.4322	2.0902	0.3941	128	relu	mse
33	14	0.0637	0.4391	2.0923	0.3956	128	relu	mse
34	15	0.0629	0.4463	2.0819	0.4013	128	relu	mse
35	16	0.0621	0.4533	2.0912	0.3920	128	relu	mse
36	17	0.0613	0.4583	2.0806	0.4111	128	relu	mse
37	18	0.0604	0.4692	2.0806	0.3962	128	relu	mse
38	19	0.0602	0.4688	2.0722	0.4038	128	relu	mse
39	20	0.0593	0.4788	2.0658	0.3983	128	relu	mse
40	1	0.0900	0.1559	2.3026	0.1571	256	relu	mse
41	2	0.0882	0.1591	2.2619	0.1765	256	relu	mse
42	3	0.0832	0.2261	2.2153	0.2666	256	relu	mse
43	4	0.0788	0.2935	2.1891	0.3072	256	relu	mse
44	5	0.0768	0.3111	2.1696	0.3150	256	relu	mse
45	6	0.0753	0.3272	2.1591	0.3360	256	relu	mse
46	7	0.0735	0.3507	2.1408	0.3562	256	relu	mse
47	8	0.0718	0.3778	2.1216	0.3936	256	relu	mse
48	9	0.0692	0.4110	2.1125	0.4090	256	relu	mse
49	10	0.0672	0.4306	2.1055	0.4106	256	relu	mse
50	11	0.0655	0.4421	2.0892	0.4151	256	relu	mse
51	12	0.0644	0.4539	2.0757	0.4307	256	relu	mse
52	13	0.0629	0.4706	2.0794	0.4306	256	relu	mse
53	14	0.0616	0.4835	2.0700	0.4379	256	relu	mse
54	15	0.0600	0.4974	2.0547	0.4578	256	relu	mse
55	16	0.0589	0.5085	2.0616	0.4434	256	relu	mse
56	17	0.0579	0.5164	2.0657	0.4417	256	relu	mse
57	18	0.0566	0.5286	2.0507	0.4569	256	relu	mse
58	19	0.0557	0.5372	2.0418	0.4579	256	relu	mse
59	20	0.0544	0.5484	2.0446	0.4561	256	relu	mse
60	1	0.0900	0.1430	2.3026	0.1353	512	relu	mse
61	2	0.0891	0.1423	2.2692	0.1550	512	relu	mse
62	3	0.0860	0.1574	2.2630	0.1732	512	relu	mse
63	4	0.0849	0.1753	2.2534	0.1793	512	relu	mse
64	5	0.0838	0.2059	2.2416	0.2288	512	relu	mse
65	6	0.0828	0.2157	2.2388	0.2035	512	relu	mse
66	7	0.0823	0.2080	2.2379	0.2014	512	relu	mse
67	8	0.0817	0.2124	2.2386	0.1938	512	relu	mse
68	9	0.0812	0.2143	2.2318	0.2125	512	relu	mse
69	10	0.0805	0.2244	2.2286	0.2157	512	relu	mse
